SearchedWord,TweetID,L1,L2,L3,Final_Label
دموکراسی,1232567455928766465,neg,neu,neg,neg
دموکراسی,1232312028196290561,neg,neu,neg,neg
دموکراسی,1232092528717049857,neg,neu,neg,neg
دموکراسی,1232568388322459648,neg,neu,neg,neg
دموکراسی,1232311248651292673,neg,neu,neg,neg
دموکراسی,1232287554164207617,neg,neu,neg,neg
دموکراسی,1232177434666995712,neg,neu,neg,neg
دموکراسی,1232177485657378816,neg,neu,neg,neg
دموکراسی,1232414601976975362,neg,neu,neg,neg
دموکراسی,1232171354520244224,neg,neu,neg,neg
دموکراسی,1232213139011170305,neg,neu,neg,neg
دموکراسی,1232378031005716480,neg,neu,neg,neg
پرفکت,1230094010791780352,neg,neu,neg,neg
پرفکت,1231605039447322624,neu,neg,neg,neg
پرفکت,1230583241612021760,neg,neu,neg,neg
پرفکت,1232592696553897985,neg,neu,neg,neg
پرفکت,1232139929536192512,neu,neg,neg,neg
پرفکت,1231195630858637315,neg,pos,neg,neg
پرفکت,1231469783486521344,neg,pos,neg,neg
پرفکت,1229812842590810113,neg,pos,neg,neg
پرفکت,1229733411969019904,neu,neg,neg,neg
پرفکت,1231170345060700160,neg,neu,neg,neg
پرفکت,1231134735252017152,neg,neu,neg,neg
پرفکت,1232615080774205441,pos,neg,neg,neg
پرفکت,1230899763568107520,neg,neu,neg,neg
پرفکت,1232769303579000832,neu,neg,neg,neg
پرفکت,1230009342746877953,neg,neu,neg,neg
پرفکت,1229864811779018753,neg,pos,neg,neg
استرس,1232486248113037312,neu,neg,neg,neg
استرس,1232443727576088577,neu,neg,neg,neg
استرس,1232432331886981121,neu,neg,neg,neg
استرس,1232457280219598848,neu,neg,neg,neg
استرس,1232424980606078976,neu,neg,neg,neg
استرس,1232506588356849664,neu,neg,neg,neg
استرس,1232424946841812994,neg,neu,neg,neg
استرس,1232518123783426053,neu,neg,neg,neg
استرس,1232460665333280768,neg,neu,neg,neg
استرس,1232420454956195842,neu,neg,neg,neg
استرس,1232516805001826305,neu,neg,neg,neg
سورئال,1232407920731574273,neg,neu,neg,neg
سورئال,1231669027241590784,neg,neu,neg,neg
سورئال,1231203744513249280,neg,neu,neg,neg
سورئال,1232057503472586756,neg,neu,neg,neg
سورئال,1232584314384076800,neg,neu,neg,neg
سورئال,1231807430738272257,neg,neu,neg,neg
سورئال,1232783509695221766,neu,neg,neg,neg
سورئال,1232019550851330048,neg,neu,neg,neg
سورئال,1231714197244760064,neg,neu,neg,neg
سورئال,1230940216535371776,neg,neu,neg,neg
سورئال,1232340707328720896,neu,neg,neg,neg
سینگل,1231977770017751043,neg,neu,neg,neg
سینگل,1232423128858529793,neu,neg,neg,neg
سینگل,1232595475443912704,neu,neg,neg,neg
سینگل,1232341319642689542,neg,neu,neg,neg
سینگل,1231702583468838914,neg,neu,neg,neg
